name,address,rate,price,rank,suggested duration,description,attraction type,n_Excellent,n_VeryGood,n_Average,n_Poor,n_Terrible
Tower of London,"St Katharine's & Wapping, London EC3N 4AB England",4.5,£28.90,8,3,"Discover London’s castle – a secure fortress, royal palace and infamous prison where you can explore 1000 years of history. Prepare to be dazzled by the breathtaking, world famous Crown Jewels. Take a Yeoman Warder tour and hear captivating stories...","['Sights & Landmarks', 'Points of Interest & Landmarks', 'Historic Sites']",43807,16487,3893,723,353
Tower Bridge,"Tower Bridge Road, London SE1 2UP England",4.5,£9.80,6,2,"An iconic London landmark and one of Britain's best loved historic sites, Tower Bridge is open to the public 363 days a year. Within the Bridge's iconic structure and magnificent Victorian Engine rooms, the Tower Bridge Exhibition is the best way of...","['Sights & Landmarks', 'Observation Decks & Towers', 'Points of Interest & Landmarks', 'Bridges', 'More']",25397,11247,1963,217,62
Churchill War Rooms,"King Charles Street, Clive Steps Westminster, London SW1A 2AQ England",4.5,£23.00,2,2,Discover the secrets of the Second World War in the underground nerve centre where Churchill and his war cabinet lived and wor,"['Sights & Landmarks', 'Museums', 'Military Museums', 'Historic Sites', 'History Museums', 'More']",16697,4987,931,137,81
National Gallery,"Trafalgar Square, London WC2N 5DN England",4.5,0,1,3,"The National Gallery houses the national collection of paintings in the Western European tradition from the 13th to the 19th centuries. It is on show 361 days a year, free of cha","['Museums', 'Art Museums']",29259,8547,1483,236,121
The British Museum,"Great Russell Street, London WC1B 3DG England",4.5,0,4,3,"A museum of the world, for the world. Discover over two million years of human history and culture. Some of the world-famous objects include the Rosetta Stone, the Parthenon sculptures and Egyptian mumm","['Museums', 'Art Museums', 'Speciality Museums', 'History Museums', 'More']",52669,15372,3417,695,369
Westminster Abbey,"20 Dean's Yard Broad Sanctuary, London SW1P 3PA England",4.5,£22.00,11,2,"Westminster Abbey was initially built by Henry III in 1245 and it is one of the most important Gothic buildings of England. At first home of Benedictine monks, the coronation church since 1066 and the final resting place of 17 monarchs. It contains...","['Sights & Landmarks', 'Historic Sites', 'Architectural Buildings', 'Sacred & Religious Sites', 'More']",16404,5645,1515,340,191
V&A  - Victoria and Albert Museum,"Cromwell Road, London SW7 2RL England",4.5,0,5,N/A,"The world's greatest museum of art and design.The V&A's collections are unrivalled in their diversity. Explore historical and contemporary art and design, including works of art from many of the world's richest cultures. Admission f","['Museums', 'Art Museums']",23267,6519,1387,297,153
St. Paul's Cathedral,"St Paul's Churchyard, London EC4M 8AD England",4.5,£17.00,13,2,"Rebuilt by Christopher Wren after the great Fire of 1666, St. Paul's has been the site of many historic state occasions; including Sir Winston Churchill's state funeral and the Royal Wedding of Prince Charles and Lady Diana Spencer. A busy working...","['Sights & Landmarks', 'Churches & Cathedrals']",11104,4269,1048,331,226
Natural History Museum,"Cromwell Road South Kensington, London SW7 5BD England",4.5,0,12,N/A,"A center of scientific excellence in the discovery of taxonomy and biodiversity, this world-famous museum promotes the discovery and enjoyment of the natural world through such exciting exhibits as the Life and Earth Galleries, wildlife garden and...","['Museums', 'History Museums', 'Natural History Museums']",24449,8652,2742,654,253
 Borough Market,"8 Southwark Street, London SE1 1TL England",4.5,0,10,N/A,An amazing food market dating back to the 13th cent,"['Shopping', 'Flea & Street Markets']",9068,3432,481,70,59
 Hyde Park,London W2 2UH England,4.5,0,7,3,"Once the hunting ground for Henry VIII, this large royal park is best known for its famous Speakers' Corner, where people speak their minds, Rotton Row, a famous horse-riding area and Serpentine Lake, home to waterfowl and oars",['Nature & Parks'],14998,5807,882,141,115
 Up at The O2,"The O2, London SE10 0DX England",4.5,0,25,3,"Get ready for a breathtaking new attraction, combining an exhilarating active outdoor challenge with a completely unique perspective on the Capital.Prepare yourself for an unforgettable 90 minute experience which will take you on an uplifting...","['Sights & Landmarks', 'Observation Decks & Towers']",4944,1075,174,39,32
 St. James's Park,"Horse Guards Road The Storeyard, London SW1A 2BJ England",4.5,0,3,2,"This 90-acre park, the oldest Royal Park in London, features a large lake that is a wildlife sanctuary for ducks, geese, swans and even pelic",['Nature & Parks'],12928,5191,526,34,10
 Covent Garden,"Covent Garden, London WC2E 9DD England",4.5,0,15,3,"Filled with restaurants, bars, markets and boutiques, London's premier tourist center offers fabulous shopping by day, and the destination of theatergoers and patrons of the Royal Opera House by ni","['Sights & Landmarks', 'Shopping', 'Points of Interest & Landmarks', 'Flea & Street Markets', 'More']",14135,8071,2040,308,118
 Houses of Parliament,"Parliament Square, London SW1A 0AA England",4.5,0,9,N/A,"Most of this iconic building was built in the mid-19th century following a devastating fire in 1834. Westminster Hall survived the fire and dates from 1097. Visitors can book tours through the House of Commons and the House of Lords, and are welcome...","['Sights & Landmarks', 'Historic Sites', 'Architectural Buildings', 'Government Buildings', 'More']",11737,3925,674,93,49
 Camden Market,"32 Camden Lock Place, London NW1 8AF England",4.5,0,16,N/A,We're driven by the belief that you can only keep discovering if you keep looking ... so we're always adding interesting stores and traders. No two days are ever the same at Camden Market. Keep checking back to see what's new and what's n,"['Shopping', 'Flea & Street Markets']",17580,7894,2314,616,325
 Chelsea FC Stadium Tour & Museum,"Stamford Bridge Fulham Road Stamford Bridge Stadium, London SW6 1HS England",4.5,£24.00,49,2,"Chelsea Football Club also offers an established and acclaimed Stadium Tour and Museum attraction, offering an information and exciting insight into Chelsea and Stamford Bridge, alongside an interactive and immersive museum experie","['Sights & Landmarks', 'Arenas & Stadiums']",1719,661,185,42,20
 The View from The Shard,"Joiner Street, London SE1 9QU England",4.5,£28.85,17,2,"Located 800ft above the ground, The View from The Shard is the highest viewing platform in London and is the only place to see the entire city all at once. The viewing galleries on Level 69 and the open-air Skydeck on Level 72 provide spectacular...","['Sights & Landmarks', 'Architectural Buildings', 'Points of Interest & Landmarks', 'Observation Decks & Towers', 'More']",10620,5117,1919,509,343
 Sky Garden,"20 Fenchurch Street 1 Sky Garden Walk, London EC3M 8AF England",4.5,0,14,N/A,"The famous enlarged glass dome of 20 Fenchurch Street is dedicated to three storeys of exquisitely landscaped public gardens and London's most exclusive social spaces, including observation decks and an open air terrace. Sky Garden also houses...","['Sights & Landmarks', 'Observation Decks & Towers']",10645,3307,709,195,277
 Regent's Park,"Chester Road Regent's Park, London NW1 4NR England",4.5,0,35,2,"Originally a royal hunting ground, this scenic park is a popular recreation area offering an artificial lake, tennis courts, cricket ground, children's playgrounds and the London Zoo, which lies on the north side of the p",['Nature & Parks'],4534,1605,192,11,13
 Emirates Stadium Tour and Museum,"75 Drayton Park Emirates Stadium, London N5 1BU England",4.5,£25.00,36,2,"Journey into Emirates Stadium and go on an all access behind-the-scenes tour. You’ll have the opportunity to walk in the footsteps of your heroes, listen to their matchday experiences and explore never before seen footage. Tours available in 10...","['Museums', 'Sights & Landmarks', 'Arenas & Stadiums', 'Speciality Museums', 'More']",1883,541,98,26,22
 Buckingham Palace,"Spur Road, London SW1A 1AA England",4.5,£26.50,19,N/A,Buckingham Palace is recognised around the world as the focus of national and royal celebrations as well as the backdrop to the regular Changing the Guard ceremony. Explore the magnificent State Rooms which are open to visitors for 10 weeks each...,"['Sights & Landmarks', 'Historic Sites', 'Points of Interest & Landmarks']",15681,8575,3908,678,253
 Wallace Collection,"Hertford House Manchester Square Manchester Square, London W1U 3BN England",4.5,0,34,N/A,"A free to visit, national museum in the heart of central London. Originally a private collection, the artwork was bequeathed to the nation by Lady Wallace in 1897. This attraction features one of the world's best collections of French 18th-century...","['Museums', 'Sights & Landmarks', 'Historic Sites', 'Art Museums', 'More']",4984,1245,180,41,17
 Greenwich,London SE10 England,4.5,0,57,N/A,"Set on the south bank of the Thames, approximately five miles from central London, this city borough is rich in maritime history and features the Old Royal Naval College, National Maritime Museum and the Royal Observatory, which was built by Sir...","['Sights & Landmarks', 'Other', 'Neighbourhoods']",3743,1798,269,40,20
 Imperial War Museums,"Lambeth Road, London SE1 6HZ England",4.5,0,100,N/A,"Founded during the First World War, IWM London gives voice to the extraordinary experiences of ordinary people forced to live in a world torn apart by conflict. From the wonder of its world-famous atrium to the countless discoveries on each of its...","['Museums', 'History Museums', 'Military Museums']",6621,2483,706,357,218
 HMS Belfast,"The Queen's Walk, London SE1 2JH England",4.5,0,85,N/A,London’s warship experience. Climb on board and explore all 9 decks. Permanently moored on the Tha,"['Museums', 'Sights & Landmarks', 'Military Museums', 'Historic Sites', 'Ships', 'More']",2260,1232,242,47,26
 Highgate Cemetery,"Swains Lane Highgate, London N6 6PJ England",4.5,0,30,N/A,"Beautiful Victorian cemetery near to Hampstead Heath. Highgate Cemetery has some of the finest funerary architecture in the country. It is a place of peaceful contemplation where trees, memorials and wildlife flour","['Sights & Landmarks', 'Cemeteries']",1295,372,68,20,17
 Shakespeare's Globe Theatre,"21 New Globe Walk, London SE1 9DT England",4.5,0,120,N/A,"Founded by the pioneering American actor and director Sam Wanamaker, Shakespeare's Globe is a unique international resource dedicated to the exploration of Shakespeare's work and the playhouse for which he wrote, through the connected means of...","['Sights & Landmarks', 'Concerts & Shows', 'Historic Sites', 'Architectural Buildings', 'Theatres', 'More']",5617,2067,543,188,137
 School Of Rock The Musical,N/A,5.0,0,32,N/A,N/A,"['Concerts & Shows', 'Theatres']",806,98,27,10,11
 Royal Air Force Museum London,"Grahame Park Way, London NW9 5LL England",4.5,0,84,N/A,"The Royal Air Force Museum London is a national museum that celebrates and commemorates the story of the Royal Air Force. On 30 June 2018 we launched three new innovative galleries that explore the first 100 years of the RAF, its role today and will...","['Museums', ""Children's Museums"", 'Science Museums', 'Military Museums', 'More']",2555,815,191,45,14
Emirates Stadium,N/A,4.5,£299.00,69,N/A,N/A,"['Sights & Landmarks', 'Arenas & Stadiums']",1296,496,72,29,28
Kensington Gardens,"The Magazine Storeyard Magazine Gate, London W2 UH England",4.5,0,45,N/A,"Separated from Hyde Park by the Serpentine, a lake used by boaters and swimmers, this park is calmer and more peaceful than its neighbor, and features many attractions including a statue of Peter Pan, Albert Memorial and the Serpentine Art Gall","['Nature & Parks', 'Gardens']",2865,1350,173,13,6
Tate Britain,"Millbank, London SW1P 4RG England",4.5,0,116,2,"The home of British art from 1500 to the present day. Tate Britain holds the largest collection of British art in the world. Walk through the history of British art from 1500 to the present day. See masterpieces by J.M.W. Turner, John Constable...","['Museums', 'Art Museums']",2451,1144,272,76,28
Museum of London,"150 London Wall, London EC2Y 5HN England",4.5,0,123,3,"Step inside the Museum of London for an unforgettable journey through the capital’s turbulent past. Discover prehistoric London, see how the city changed under Romans and Saxons, wonder at medieval London and examine the tumultuous years when London...","['Museums', 'History Museums']",3375,1824,379,88,45
National Portrait Gallery,"Charing Cross Road 2 St. Martin's Place, London WC2H 0HE England",4.5,0,86,3,This world-famous museum houses portraits of noted Britons from the Tudors to the present ,"['Museums', 'Art Museums']",3649,1632,367,57,24
British Library,"96 Euston Road, London NW1 2DB England",4.5,0,78,2,"Open to all visitors seven-days-a-week, this superb building by Sir Colin St John Wilson offers events, special exhibitions and a Treasures Gallery that displays over 200 items, including Magna Carta, a Gutenberg Bible and lyrics by the Beat","['Traveller Resources', 'Museums', 'History Museums', 'Libraries', 'More']",2586,1035,216,57,26
Hampstead Heath,N/A,4.5,0,38,N/A,N/A,"['Nature & Parks', 'Nature & Wildlife Areas']",1225,412,63,8,2
Old Royal Naval College,"College Way, London SE10 9NN England",4.5,£12.00,33,2,The Old Royal Naval College is temporarily closed until 31 March 2020. Following careful consideration in response to the COVID-19 interior visitor spaces will be closed until the end of the month. The situation will be continually reviewed so...,"['Sights & Landmarks', 'Churches & Cathedrals', 'Architectural Buildings', 'Historic Sites', 'More']",2028,469,55,9,34
Tottenham Hotspur Stadium,N/A,4.5,0,31,N/A,N/A,"['Sights & Landmarks', 'Arenas & Stadiums']",470,41,11,12,13
Trafalgar Square,"Centre of the City, London SW1A England",4.5,0,162,N/A,"A 145-foot-high monument, bearing a statue of Lord Horatio Nelson guarded by lions, marks the spot considered the center of Lon","['Sights & Landmarks', 'Points of Interest & Landmarks']",3847,3223,871,95,34
BAPS Shri Swaminarayan Mandir,"105-119 Brentfield Road Neasden, London NW10 8LD England",4.5,0,37,2,BAPS Shri Swaminarayan Mandir – popularly known as the Neasden Temple – is a masterpiece of traditional Hindu design and exquisite Indian workmanship in the heart of north-west London. It is dedicated to the worship of Bhagwan Swaminarayan and the...,"['Sights & Landmarks', 'Sacred & Religious Sites']",445,133,18,11,3
London Underground,London SW1H 0TL England,4.5,0,18,N/A,"London Underground, better known as the Tube, has 11 lines covering 402km and serving 270 stations. Opened in 1863, it is the world's oldest underground railway network, and one of the larg","['Transportation', 'Mass Transportation Systems']",25508,12909,4199,1148,845
Tower of London,London W2 England,4.5,£28.90,157,N/A,"Trendy and fashionable neighborhood in London with a distinctive, small-village feel, made famous by a movie of the same n","['Other', 'Sights & Landmarks', 'Neighbourhoods']",1465,1046,294,33,18
Tower Bridge,"Westminster Bridge Road Riverside Building, County Hall, London SE1 7PB England",4.5,£9.80,20,2,"A trip on the London Eye is truly captivating, a ‘must-do’ and has been London’s number one visitor experience for over a decade. Elegantly rotating over the River Thames and less than a five minute stroll from Waterloo station along the beautiful...","['Sights & Landmarks', 'Points of Interest & Landmarks', 'Observation Decks & Towers']",45136,26492,11078,2411,1210
Churchill War Rooms,"Kensington-Chelsea, London England",4.5,£23.00,67,N/A,"Situated west of Kensington Gardens, this city park is particularly attractive in the spring when tulips are in full bloom, and in summer when performances are staged at the open-air thea","['Other', 'Sights & Landmarks', 'Nature & Parks', 'Neighbourhoods', 'More']",1060,434,71,7,5
National Gallery,N/A,4.5,0,42,N/A,N/A,"['Museums', 'Speciality Museums']",909,310,55,15,6
The British Museum,N/A,4.5,0,58,N/A,N/A,['Nature & Parks'],2027,937,115,11,6
Westminster Abbey,"411-412 Strand, London WC2R 0NS England",4.5,£22.00,28,N/A,"Although there have been various earlier entertainment buildings on the site the reconstructed Adelphi Theatre, with its art deco interiors, opened to the public in December 1930 with Jessie Matthews starring in Ever Green.The front-of-house areas...","['Concerts & Shows', 'Theatres']",2217,364,64,21,20
V&A  - Victoria and Albert Museum,"27 Western Gateway, London E16 1FA England",4.5,0,83,N/A,"Emirates Air Line crosses the River Thames between Greenwich Peninsula and the Royal Docks, just five minutes from the O2 by North Greenwich Tube station. Cabins arrive every 30 seconds and flights are approximately 10 minutes each ","['Transportation', 'Tramways']",2240,1089,264,41,27
St. Paul's Cathedral,N/A,4.5,£17.00,158,N/A,N/A,"['Museums', 'Sights & Landmarks', 'Speciality Museums', 'Historic Sites', 'Ships', 'More']",1637,1145,294,62,26
Natural History Museum,N/A,4.5,0,68,N/A,N/A,"['Nature & Parks', 'Other', 'Sights & Landmarks', 'Neighbourhoods', 'More']",1336,625,92,6,4
 Borough Market,"1 The Warehouse Hertsmere Road, London E14 4AL England",4.5,0,50,3,"From Roman settlement to Docklands’ regeneration, unlock the history of London’s river, port and people in this historic warehouse. Discover a wealth of objects from whale bones to WWII gas masks in state-of-the-art galleries, including Mudlarks, an...","['Museums', 'Speciality Museums', 'History Museums']",829,383,73,11,2
 Hyde Park,"15-20 Phoenix Place, London WC1X 0DA England",4.5,0,190,N/A,"TEMPORARY MUSEUM CLOSURE The Postal Museum is temporarily closed due to Coronavirus outbreak but we’ll continue to share the surprising stories of the first social network and the hidden underground Mail Rail on our Facebook, Twitter and Instag","['Museums', 'Speciality Museums']",603,337,81,37,35
 Up at The O2,N/A,4.5,0,167,N/A,N/A,"['Other', 'Sights & Landmarks', 'Neighbourhoods']",732,621,147,24,13
 St. James's Park,"Emirates Cable Car Terminal Edmund Halley Way, London SE10 0FR England",4.5,0,126,N/A,"Emirates Air Line crosses the River Thames between Greenwich Peninsula and the Royal Docks, just five minutes from the O2 by North Greenwich Tube station. Cabins arrive every 30 seconds and flights are approximately 10 minutes each ","['Transportation', 'Tramways']",1641,891,189,33,30
 Covent Garden,N/A,4.5,0,148,N/A,N/A,"['Nature & Parks', 'Bodies of Water']",1509,1009,236,46,28
 Houses of Parliament,N/A,4.5,0,143,N/A,N/A,"['Sights & Landmarks', 'Points of Interest & Landmarks']",468,278,77,13,15
 Camden Market,"St. Pancras Station Euston Road, London N1C 4QP England",4.5,0,189,2,"St Pancras International is one of the greatest Victorian buildings in London. It has become a key destination for Eurostar and high-speed rail in the UK, as well as a fantastic retail and hospitality destination. It has something for everyone...","['Sights & Landmarks', 'Transportation', 'Mass Transportation Systems', 'Architectural Buildings', 'Points of Interest & Landmarks', 'More']",1804,1182,210,62,73
 Chelsea FC Stadium Tour & Museum,N/A,4.5,£24.00,76,N/A,N/A,['Nature & Parks'],336,171,23,4,4
 The View from The Shard,"Charles Dickens Museum 48 Doughty Street, London WC1N 2LX England",4.5,£28.85,118,2,"The Charles Dickens Museum in London holds the world's most important Dickens collection with over 100,000 items including manuscripts, rare editions, personal items, paintings and other visual sources. Based in 48 Doughty Street, the author’s only...","['Museums', 'Speciality Museums']",681,341,70,25,10
 Sky Garden,"Brick Lane Police Station 25 Brick Lane, London E1 6PU England",4.5,0,184,N/A,"This historic street dates back approximately 450 years, and is now a popular place for great Indian food and Sunday mark","['Sights & Landmarks', 'Other', 'Neighbourhoods', 'Points of Interest & Landmarks', 'More']",891,657,175,48,37
 Regent's Park,"Monument St., London EC3R 8AH England",4.5,0,164,N/A,"A permanent reminder of the Great Fire of 1666, the Monument commemorates one of the most famous events in London's history. Standing regally on the piazza between Fish Street Hill and Monument Street, the 202ft column designed by Sir Christopher...","['Sights & Landmarks', 'Historic Sites', 'Observation Decks & Towers', 'Monuments & Statues', 'More']",1029,919,270,27,7
 Emirates Stadium Tour and Museum,"Soho, London W1F England",4.5,£25.00,215,3,"Carnaby is a unique shopping and dining destination in the heart of London's West End, with over 150 brands, boutiques, concept stores and flagships, and 60 independent restaurants, bars and cafés found across 14 streets, including the world famous...","['Other', 'Sights & Landmarks', 'Neighbourhoods', 'Points of Interest & Landmarks', 'More']",665,611,213,62,36
 Buckingham Palace,"50 St. Katharines Way St Katherine's & Wapping, London E1W 1LA England",4.5,£26.50,114,N/A,"Iconic St Katharine Docks is Central London's only marina and has evolved into a thriving waterside community featuring modern and unusual office space, luxury homes and quayside dining and shopping. A stone's throw from the Tower of London, the...","['Sights & Landmarks', 'Nature & Parks', 'Scenic Walking Areas', 'Marinas', 'Piers & Boardwalks', 'More']",397,286,29,6,2
 Wallace Collection,"St. Thomas's Church 9A St. Thomas Street, London SE1 9RY England",4.5,0,101,2,"The Old Operating Theatre Museum and Herb Garret is one of the most unusual Museums in London. It is in quite an amazing location - in the attic of an English Baroque church which was used as a Herb Garret, and later on converted into an Operating...","['Concerts & Shows', 'Sights & Landmarks', 'Historic Sites', 'Theatres', 'More']",419,282,52,8,3
 Greenwich,"16 Horner Square, London E1 6EW England",4.5,0,207,3,"Open 7 days a week, it is the perfect antidote to the high street. We bring together small producers with local creatives and artisans, original independent retailers and a few well-known brands under one historic roof. Our daily market is home to a...","['Shopping', 'Flea & Street Markets']",964,799,216,41,25
 Imperial War Museums,"Lords Cricket Ground St. Johns Wood Road, London NW8 8QN England",4.5,0,74,N/A,"Lord's Cricket Ground is known as the Home of Cricket and is owned by Marylebone Cricket Club - better known, throughout the cricketing world, as MCC. Founded in 1787, MCC is the world's most famous cricket c","['Museums', 'Fun & Games', 'Sights & Landmarks', 'Arenas & Stadiums', 'Sports Complexes', 'Speciality Museums', 'More']",1039,365,79,17,16
 HMS Belfast,"Buckingham Palace Buckingham Palace Road, London SW1W 1QH England",4.5,0,165,N/A,The Royal Mews is home to the royal collection of historic coaches and carriages and is considered to be one of the finest working stables in existence. The Royal Mews is responsible for all road travel arrangements for The Queen and members of the...,"['Sights & Landmarks', 'Historic Sites', 'Points of Interest & Landmarks']",653,542,156,29,14
 Highgate Cemetery,"Bow Street, London WC2E 9DD England",4.5,0,72,3,"Experience all the Royal Opera House has to offer – stunning performances from The Royal Ballet and The Royal Opera, delicious food and drink, inspiring interactive events and a perfect place to relax in the heart of Covent Gar","['Concerts & Shows', 'Ballets', 'Operas', 'Theatres', 'More']",2213,529,97,39,31
 Shakespeare's Globe Theatre,N/A,4.5,0,41,N/A,N/A,"['Fun & Games', 'Sights & Landmarks', 'Arenas & Stadiums', 'Sports Complexes', 'More']",1247,275,47,9,11
 School Of Rock The Musical,N/A,5.0,0,56,N/A,N/A,"['Nature & Parks', 'Gardens']",403,170,25,8,10
 Royal Air Force Museum London,"Portobello Road Ladbroke Grove, London W11 1LU England",4.5,0,244,3,"Portobello Road is probably the world’s best known market. Though famous for antiques, that’s not all there is. It’s a haven for lovers of fashion, food, books and music; anyone who wants to find something unique or loves a bargain. It’s real London...","['Shopping', 'Flea & Street Markets']",1986,1621,593,169,70
Emirates Stadium,N/A,4.5,£299.00,48,N/A,N/A,"['Sights & Landmarks', 'Points of Interest & Landmarks']",228,90,7,1,0
Kensington Gardens,N/A,4.5,0,156,N/A,N/A,"['Sights & Landmarks', 'Points of Interest & Landmarks']",645,274,62,19,29
Tate Britain,"42 Francis Street, London SW1P 1QW England",4.5,0,104,N/A,"Admission to the Cathedral is free but donations are gratefully received Tower Lift - £6 adult; £3 concession; £14 family ticket (2 adult and 2 children) If you enter the Cathedral at a quiet moment in the day, don’t imagine that it is always like...","['Sights & Landmarks', 'Churches & Cathedrals', 'Sacred & Religious Sites']",847,517,92,15,2
Museum of London,"Somerset House Strand Somerset House, London WC2R 0RN England",4.5,0,44,N/A,"""This place is temporarily closed."" We are now closed for a period of at least two years while we undertake a major transformation project called Courtauld Connects. This will enable us to significantly improve our visitor experience by putting...","['Museums', 'Art Museums']",2526,765,102,12,8
National Portrait Gallery,N/A,4.5,0,64,N/A,N/A,"['Concerts & Shows', 'Theatres']",576,204,43,11,22
British Library,N/A,4.5,0,75,N/A,N/A,"['Sights & Landmarks', 'Churches & Cathedrals']",422,208,33,4,6
Hampstead Heath,"111-117 Lancaster Road Notting Hill, London W11 1QT England",4.5,0,71,N/A,"Just around the corner from the world-famous Portobello Road Market stands a unique, Aladdin's cave of retro design and memories - the only museum of its kind in the whole world. Imagine walking through a corridor full from floor to ceiling with the...","['Museums', 'History Museums']",765,347,58,15,8
Old Royal Naval College,"3 Abbey Road, London NW8 9AY England",4.5,£12.00,173,N/A,"This studio has stood at the forefront of the recording industry for many years, which is particularly noteworthy as the recording studio used by the famous Beatles during the 1960s and 19","['Sights & Landmarks', 'Historic Sites']",255,148,63,10,5
Tottenham Hotspur Stadium,"53 Bankside, London SE1 9TG England",4.5,0,256,2,"A visit to London isn't complete without a trip to Tate Modern. Tate Modern is Britain's national museum of modern and contemporary art from around the globe, and the world’s most visited contemporary art gallery. Housed in the former Bankside Power...","['Museums', 'Art Museums']",4832,3036,1387,574,345
Trafalgar Square,"45 Wellington Street, London WC2E 7BN England",4.5,0,193,N/A,The London Film Museum Covent Garden is now dedicated to the Bond in Motion Collection - the largest official collection of original James Bond vehic,"['Museums', 'Speciality Museums']",637,434,138,27,18
BAPS Shri Swaminarayan Mandir,"Park Row Greenwich Peninsula, London SE10 9NF England",4.5,0,200,3,"Experience the world's largest maritime museum, filled with inspirational stories of exploration and endeavour at sea and packed to the gunwales with intriguing objects and fascinating galleries. See the uniform Nelson wore at the Battle of...","['Museums', 'Speciality Museums']",909,697,225,113,51
London Underground,"Piccadilly Circus, London W1J 9HS England",4.5,0,266,2,"Located at the junction of five busy streets, this famous London landmark blazes with neon displays, which serve as a colorful backdrop to a bronze fountain topped by a figure of a winged arc","['Sights & Landmarks', 'Points of Interest & Landmarks', 'Historic Sites']",2422,2194,953,207,70
Notting Hill,N/A,4.5,0,79,N/A,N/A,"['Nature & Parks', 'Gardens']",234,76,26,5,1
